Id,Username,Password,Role,Balance
1,alice,pass1,Borrower,0
2,bob,pass2,Borrower,0
3,charlie,pass3,Borrower,0
4,lender_alex,lendpass1,Lender,50000
5,lender_maya,lendpass2,Lender,75000
6,lender_john,lendpass3,Lender,100000
7,admin,admin123,Admin,0
8,diana,pass4,Borrower,0
9,edward,pass5,Borrower,0
10,fiona,pass6,Borrower,0
11,george,pass7,Borrower,0
12,hannah,pass8,Borrower,0
13,lender_steve,lendpass4,Lender,150000
14,lender_lisa,lendpass5,Lender,200000
15,lender_paul,lendpass6,Lender,120000
16,lender_rose,lendpass7,Lender,80000
